Time,MaxTemp,MinTemp
0,20,20
1,28.67,20.354
2,35.16,21.405
3,41.158,23.062
4,46.91,25.193
5,52.466,27.671
6,57.843,30.392
7,63.048,33.275
8,68.09,36.256
9,72.976,39.288
10,77.71,42.335
11,82.298,45.369
12,86.746,48.372
13,91.059,51.33
14,95.239,54.233
15,99.292,57.074
16,103.22,59.848
17,107.03,62.552
18,110.73,65.186
19,114.31,67.748
20,117.79,70.239
21,121.15,72.659
22,124.42,75.009
23,127.59,77.291
24,130.66,79.505
25,133.64,81.654
26,136.53,83.739
27,139.33,85.762
28,142.05,87.724
29,144.68,89.627
30,147.24,91.473
31,149.71,93.263
32,152.12,94.999
33,154.45,96.683
34,156.71,98.316
35,158.9,99.9
36,161.02,101.44
37,163.08,102.93
38,165.08,104.37
39,167.02,105.77
40,168.89,107.13
41,170.72,108.45
42,172.48,109.72
43,174.2,110.96
44,175.86,112.16
45,177.47,113.33
46,179.03,114.46
47,180.54,115.55
48,182.01,116.61
49,183.44,117.64
50,184.82,118.64
51,186.16,119.61
52,187.46,120.55
53,188.72,121.46
54,189.94,122.35
55,191.13,123.2
56,192.27,124.03
57,193.39,124.84
58,194.47,125.62
59,195.52,126.38
60,196.53,127.11
61,197.52,127.82
62,198.47,128.51
63,199.4,129.18
64,200.3,129.83
65,201.17,130.46
66,202.01,131.07
67,202.83,131.67
68,203.63,132.24
69,204.4,132.8
70,205.14,133.34
71,205.87,133.86
72,206.57,134.37
73,207.25,134.86
74,207.91,135.34
75,208.55,135.8
76,209.18,136.25
77,209.78,136.69
78,210.36,137.11
79,210.93,137.52
80,211.48,137.92
81,212.01,138.3
82,212.53,138.68
83,213.03,139.04
84,213.51,139.39
85,213.99,139.73
86,214.44,140.06
87,214.89,140.38
88,215.32,140.69
89,215.73,140.99
90,216.14,141.29
91,216.53,141.57
92,216.91,141.84
93,217.28,142.11
94,217.63,142.37
95,217.98,142.62
96,218.32,142.86
97,218.64,143.1
98,218.96,143.33
99,219.26,143.55
100,219.56,143.76
101,219.85,143.97
102,220.13,144.17
103,220.4,144.37
104,220.66,144.56
105,220.92,144.74
106,221.16,144.92
107,221.4,145.09
108,221.64,145.26
109,221.86,145.43
110,222.08,145.58
111,222.29,145.74
112,222.5,145.88
113,222.7,146.03
114,222.89,146.17
115,223.08,146.3
116,223.26,146.44
117,223.44,146.56
118,223.61,146.69
119,223.77,146.81
120,223.93,146.92
121,224.09,147.04
122,224.24,147.14
123,224.39,147.25
124,224.53,147.35
125,224.67,147.45
126,224.8,147.55
127,224.93,147.64
128,225.05,147.73
129,225.18,147.82
130,225.29,147.91
131,225.41,147.99
132,225.52,148.07
133,225.63,148.15
134,225.73,148.22
135,225.83,148.3
136,225.93,148.37
137,226.03,148.44
138,226.12,148.5
139,226.21,148.57
140,226.3,148.63
141,226.38,148.69
142,226.46,148.75
143,226.54,148.81
144,226.62,148.86
145,226.69,148.92
146,226.77,148.97
147,226.84,149.02
148,226.9,149.07
149,226.97,149.12
150,227.03,149.16
